story,segment_id,segment_rel_pos,models_mean,human_pcaught,mean_minus_human,segment_text,gpt4o_pcaught,llama4_pcaught,deep_seek_pcaught,oss_120_pcaught,models_min,models_max
schissel_v2-lake,13,0.72,99.514,82.653,16.861,"When I emerged from the water, there was a frog on the shore,",100.0,100.0,99.0,99.057,99.0,100.0
boyscout,5,0.26,98.505,81.443,17.062,and so we was doing the 50-yard dash.,100.0,100.0,96.0,98.02,96.0,100.0
boyscout,16,0.84,93.663,76.289,17.374,But he didn't pay me no attention either.,100.0,81.651,93.0,100.0,81.651,100.0
costa,24,0.12,87.327,69.892,17.434,I was waiting for the call from the hospital.,91.813,91.089,86.207,80.198,80.198,91.813
panic,20,0.36,82.529,65.0,17.529,"Next thing I know, I started seeing spots",66.038,64.078,100.0,100.0,64.078,100.0
costa,2,0.01,80.079,62.366,17.713,It’ll be twenty-eight years this month.,63.743,96.04,72.414,88.119,63.743,96.04
hester_v1-park,24,0.44,70.884,53.061,17.823,I was sitting under a big oak tree now.,19.277,80.0,84.259,100.0,19.277,100.0
stein,102,0.78,77.665,59.794,17.871,Before the patrol ever left my mother turned,99.083,53.0,83.81,74.766,53.0,99.083
boyscout,3,0.16,63.351,45.361,17.991,"racing,",66.981,67.89,72.0,46.535,46.535,72.0
panic,18,0.32,65.015,47.0,18.015,the pressure only got stronger,83.019,86.408,59.633,31.0,31.0,86.408
hester_v1-park,34,0.63,42.545,24.49,18.056,and then I closed my eyes,13.855,13.0,46.296,97.03,13.0,97.03
panic,52,0.93,36.058,18.0,18.058,It was never a fun experience,60.377,55.34,16.514,12.0,12.0,60.377
schissel_v2-lake,7,0.39,100.0,81.633,18.367,and she dared me to catch it.,100.0,100.0,100.0,100.0,100.0,100.0
panic,9,0.16,86.436,68.0,18.436,a bit lightheaded,95.283,87.379,99.083,64.0,64.0,99.083
triplett_v1-rookie,16,0.5,99.25,80.808,18.442,and proposed “Well we'll search for her,100.0,100.0,97.0,100.0,97.0,100.0
boyscout,2,0.11,100.0,81.443,18.557,"And we was doing the 50-yard dash,",100.0,100.0,100.0,100.0,100.0,100.0
doSomething,24,0.3,74.536,55.789,18.747,Got it blocked.,44.554,89.423,72.642,91.525,44.554,91.525
bear,13,0.11,89.749,71.0,18.749,the other three guys all lived in the city.,100.0,84.906,78.899,95.192,78.899,100.0
costa,72,0.37,69.34,50.538,18.803,"And the beads of sweat – honest to God, not to exaggerate, they were that big.",47.368,83.168,91.379,55.446,47.368,91.379
bear,28,0.23,65.852,47.0,18.852,"After we'd been acquainted for several years,",62.963,59.434,66.972,74.038,59.434,74.038
costa,5,0.03,96.319,77.419,18.9,She had an operation for appendicitis.,100.0,97.03,99.138,89.109,89.109,100.0
panic,34,0.61,69.935,51.0,18.935,I couldn't find my voice.,84.906,38.835,100.0,56.0,38.835,100.0
bear,40,0.33,90.947,72.0,18.947,"So we took an airplane out of Fort Wayne,",98.148,84.906,80.734,100.0,80.734,100.0
triplett_v2-catlady,26,0.81,79.194,60.204,18.99,He hadn't run away.,79.63,60.194,88.991,87.963,60.194,88.991
costa,57,0.29,90.123,70.968,19.155,"But when I got there, the nurse said to me, “Sit down, Mrs. Costa, sit here for a while.”",86.55,92.079,88.793,93.069,86.55,93.069
triplett_v1-rookie,10,0.31,100.0,80.808,19.192,She was a chatterbox.,100.0,100.0,100.0,100.0,100.0,100.0
doSomething,27,0.33,59.428,40.0,19.428,"and it's about ... maybe mile, two miles... north of Twenty­-four on Aboite Center,",5.941,63.462,71.698,96.61,5.941,96.61
panic,23,0.41,51.863,32.0,19.863,I tried to take some deep breaths,52.83,33.981,70.642,50.0,33.981,70.642
costa,7,0.04,67.188,47.312,19.876,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was.",70.175,55.446,62.931,80.198,55.446,80.198
costa,22,0.11,87.871,67.742,20.129,"but I blame them for the blood clot she got, taking her out of bed.",94.152,80.198,93.966,83.168,80.198,94.152
panic,41,0.73,88.136,68.0,20.136,sat me down in a chair,83.962,80.583,100.0,88.0,80.583,100.0
stein,1,0.01,99.274,78.351,20.923,We moved down to Third and Wharton.,100.0,99.0,98.095,100.0,98.095,100.0
costa,30,0.15,68.242,47.312,20.93,I had all the clothes laid out on the table.,78.363,33.663,89.655,71.287,33.663,89.655
hester_v1-park,35,0.65,96.584,75.51,21.074,and said a quiet prayer.,100.0,94.0,96.296,96.04,94.0,100.0
hester_v1-park,43,0.8,47.629,26.531,21.098,I – I couldn't believe it.,98.193,58.0,33.333,0.99,0.99,98.193
hester_v2-church,45,0.83,72.203,51.0,21.203,"I couldn't be sure, but it definitely changed my perspective on faith and the power of prayer.",94.444,36.0,95.0,63.366,36.0,95.0
stein,15,0.12,73.826,52.577,21.248,"And I said to them, “Now you stay there.",70.642,73.0,63.81,87.85,63.81,87.85
stein,130,1.0,30.617,9.278,21.339,and it certainly was frightening for me.,59.633,10.0,26.667,26.168,10.0,59.633
doSomething,72,0.89,93.987,72.632,21.356,"and he throws his car into reverse,",97.03,82.692,96.226,100.0,82.692,100.0
triplett_v1-rookie,11,0.34,99.186,77.778,21.408,"Goodness, she could talk.",97.605,100.0,100.0,99.138,97.605,100.0
hester_v2-church,8,0.15,62.519,41.0,21.519,My parents had gone out of town for the weekend.,74.074,62.0,14.0,100.0,14.0,100.0
bear,23,0.19,80.632,59.0,21.632,so I'd go along just to be one of the group.,70.37,74.528,85.321,92.308,70.37,92.308
bear,16,0.13,72.702,51.0,21.702,"and they'd come out,",78.704,81.132,35.78,95.192,35.78,95.192
schissel_v2-lake,18,1.0,99.306,77.551,21.755,"and I said, ""Just you wait,"" I said, ""you'll get yours soon enough.""",100.0,97.222,100.0,100.0,97.222,100.0
triplett_v2-catlady,7,0.22,73.115,51.02,22.095,I never caught on.,89.815,74.757,88.073,39.815,39.815,89.815
costa,17,0.09,69.473,47.312,22.161,"But the nurse said, “Well, that’s the doctor’s orders.”",69.006,59.406,80.172,69.307,59.406,80.172
hester_v1-park,15,0.28,64.25,41.837,22.413,and found a quiet spot there.,99.398,52.0,62.037,43.564,43.564,99.398
hester_v1-park,1,0.02,89.827,67.347,22.48,Let me share a story from when I was twenty-one years old.,100.0,64.0,96.296,99.01,64.0,100.0
doSomething,28,0.35,95.195,72.632,22.564,"and this guy's following us see,",92.079,96.154,93.396,99.153,92.079,99.153
panic,40,0.71,98.771,76.0,22.771,He took me to the staff room,100.0,100.0,99.083,96.0,96.0,100.0
schissel_v2-lake,17,0.94,90.206,67.347,22.859,"And naturally, the first thing to do was to get revenge,",93.069,87.963,93.0,86.792,86.792,93.069
triplett_v2-catlady,13,0.41,98.624,75.51,23.114,She came to my treehouse.,100.0,100.0,94.495,100.0,94.495,100.0
triplett_v2-catlady,17,0.53,81.367,58.163,23.204,"and if we can't locate him, you can – go ahead and call the police if you need to.”",91.667,64.078,69.725,100.0,64.078,100.0
triplett_v2-catlady,6,0.19,95.763,72.449,23.314,"And apparently, he was trying to befriend me.",100.0,92.233,91.743,99.074,91.743,100.0
stein,34,0.26,66.759,43.299,23.46,I did find her.,81.651,63.0,47.619,74.766,47.619,81.651
doSomething,69,0.85,57.174,33.684,23.49,"And as soon as he sees me get out of the car and walk over there to the police car,",87.129,68.269,70.755,2.542,2.542,87.129
doSomething,13,0.16,96.394,72.632,23.763,"and he's blocking off the lane,",100.0,85.577,100.0,100.0,85.577,100.0
schissel_v2-lake,14,0.78,97.598,73.469,24.129,she just scooped it up,100.0,97.222,96.0,97.17,96.0,100.0
boyscout,15,0.79,84.149,59.794,24.355,He was watching me.,83.019,72.477,91.0,90.099,72.477,91.0
panic,21,0.38,84.364,60.0,24.364,I could feel sweat dripping down my forehead,100.0,51.456,100.0,86.0,51.456,100.0
schissel_v1-pool,10,0.56,48.461,24.074,24.387,"'Course friends, y'know, they don't always think things through.",64.762,34.286,57.798,37.0,34.286,64.762
triplett_v2-catlady,24,0.75,85.687,61.224,24.462,– it was a treehouse club –,95.37,80.583,86.239,80.556,80.556,95.37
panic,45,0.8,50.67,26.0,24.67,told me to rest for a bit,84.906,47.573,42.202,28.0,28.0,84.906
doSomething,74,0.91,81.818,56.842,24.976,"When the cops went down there to check him out,",88.119,69.231,79.245,90.678,69.231,90.678
panic,35,0.62,70.995,46.0,24.995,The manager started walking towards me,59.434,42.718,90.826,91.0,42.718,91.0
boyscout,14,0.74,95.183,70.103,25.08,Scoutmaster was up there.,100.0,80.734,100.0,100.0,80.734,100.0
stein,44,0.34,82.837,57.732,25.105,Better move out of there.”,100.0,69.0,85.714,76.636,69.0,100.0
bear,43,0.35,93.236,68.0,25.236,"and then we rented canoes,",100.0,86.792,88.073,98.077,86.792,100.0
triplett_v2-catlady,20,0.62,96.925,71.429,25.496,And we went to where they found his baseball cap – near the old mill,100.0,93.204,94.495,100.0,93.204,100.0
doSomething,9,0.11,90.814,65.263,25.55,"there's this guy sitting over here to the right,",98.02,76.923,93.396,94.915,76.923,98.02
schissel_v2-lake,5,0.28,94.096,68.367,25.728,she spotted a frog near the water's edge or,95.05,83.333,98.0,100.0,83.333,100.0
panic,51,0.91,46.803,21.0,25.803,the help of the quick action of the manager,29.245,36.893,88.073,33.0,29.245,88.073
stein,14,0.11,99.286,73.196,26.09,And I had sense enough to get the kids into the stairway so that they wouldn't get hurt by flyin' glass.,100.0,100.0,97.143,100.0,97.143,100.0
boyscout,19,1.0,97.248,71.134,26.114,and grabbed me.,100.0,88.991,100.0,100.0,88.991,100.0
triplett_v1-rookie,7,0.22,60.541,34.343,26.197,I never observed it.,47.904,53.465,77.0,63.793,47.904,77.0
doSomething,58,0.72,84.298,57.895,26.403,"so we pulled up to the stop at this sign,",79.208,87.5,76.415,94.068,76.415,94.068
schissel_v1-pool,16,0.89,95.017,68.519,26.499,"And... my beautiful dress was ruined,",100.0,81.905,98.165,100.0,81.905,100.0
doSomething,2,0.02,68.745,42.105,26.64,They'd had the games all scheduled for the diamond at Homestead High School.,100.0,24.038,50.943,100.0,24.038,100.0
doSomething,12,0.15,83.488,56.842,26.646,And he starts creeping out onto Twenty-four,88.119,96.154,80.189,69.492,69.492,96.154
schissel_v1-pool,3,0.17,71.508,44.444,27.064,where everyone was dressed to impress.,82.857,63.81,40.367,99.0,40.367,99.0
boyscout,17,0.89,97.248,70.103,27.145,"And for no reason at all there was another guy, who had just walked up that minute...",100.0,88.991,100.0,100.0,88.991,100.0
stein,21,0.16,72.953,45.361,27.592,"I was scared to death,",99.083,66.0,80.0,46.729,46.729,99.083
triplett_v2-catlady,21,0.66,83.857,56.122,27.735,and we trailed a bit more,90.741,82.524,86.239,75.926,75.926,90.741
triplett_v2-catlady,18,0.56,47.237,19.388,27.849,I was strategizing.,75.926,52.427,55.963,4.63,4.63,75.926
hester_v1-park,3,0.06,85.009,57.143,27.866,I had just started my first job.,97.59,48.0,94.444,100.0,48.0,100.0
doSomething,70,0.86,79.527,51.579,27.948,the guy stops way far away from the intersection.,73.267,66.346,80.189,98.305,66.346,98.305
triplett_v2-catlady,16,0.5,96.544,68.367,28.177,and said “Well we'll go find him,99.074,99.029,88.073,100.0,88.073,100.0
triplett_v1-rookie,8,0.25,88.828,60.606,28.222,Truth is I wasn't very fond of her because she was –,97.006,83.168,76.0,99.138,76.0,99.138
doSomething,11,0.14,76.793,48.421,28.372,Looked like he's about in his middle fifties.,91.089,42.308,75.472,98.305,42.308,98.305
schissel_v2-lake,3,0.17,68.216,39.796,28.42,and we were enjoying a peaceful afternoon.,61.386,54.63,71.0,85.849,54.63,85.849
triplett_v1-rookie,22,0.69,92.373,63.636,28.737,and we couldn't locate her.,100.0,85.149,99.0,85.345,85.149,100.0
triplett_v1-rookie,6,0.19,93.552,64.646,28.906,And it seemed she was trying to impress me.,100.0,79.208,95.0,100.0,79.208,100.0
triplett_v1-rookie,13,0.41,99.75,70.707,29.043,He arrived at my apartment.,100.0,100.0,99.0,100.0,99.0,100.0
costa,14,0.07,86.155,56.989,29.166,"The nurse said, “Well, we’ve got to get her out of bed.”",90.643,80.198,96.552,77.228,77.228,96.552
costa,9,0.05,63.732,34.409,29.324,"Back then, they used a lot of ether.",76.608,37.624,79.31,61.386,37.624,79.31
boyscout,18,0.95,96.5,67.01,29.49,He just jumped over,100.0,88.991,98.0,99.01,88.991,100.0
bear,3,0.02,95.588,66.0,29.588,when I started college.,100.0,95.283,88.991,98.077,88.991,100.0
boyscout,6,0.32,97.874,68.041,29.833,"There was about 8 or 9 of us, you know, going down, coming back.",100.0,94.495,97.0,100.0,94.495,100.0
hester_v2-church,39,0.72,93.954,64.0,29.954,That day marked the beginning of his recovery.,89.815,92.0,94.0,100.0,89.815,100.0
schissel_v2-lake,9,0.5,85.189,55.102,30.087,and I told her I wasn't interested.,46.535,97.222,97.0,100.0,46.535,100.0
panic,19,0.34,76.293,46.0,30.293,I could feel my heart pounding in my chest,64.151,66.019,100.0,75.0,64.151,100.0
boyscout,10,0.53,96.33,65.979,30.351,"They thought I was just trying to catch up, because I was going on or slowing down.",100.0,85.321,100.0,100.0,85.321,100.0
hester_v1-park,6,0.11,94.79,64.286,30.504,He had to use a wheelchair to get around.,100.0,82.0,98.148,99.01,82.0,100.0
hester_v2-church,18,0.33,88.537,58.0,30.537,I was not a particularly religious person.,98.148,65.0,91.0,100.0,65.0,100.0
schissel_v2-lake,8,0.44,93.981,63.265,30.716,I had just sat down to eat my sandwich,100.0,75.926,100.0,100.0,75.926,100.0
costa,18,0.09,77.502,46.237,31.266,"So, they went to get her out of bed,",87.135,67.327,79.31,76.238,67.327,87.135
hester_v1-park,46,0.85,95.608,64.286,31.322,and saw my father standing in the living room with the help of his walker.,96.988,91.0,94.444,100.0,91.0,100.0
stein,63,0.48,66.473,35.052,31.421,And she – well I always thought of her as an educated person which she was because she was the only one I knew who had completed high school.,83.486,46.0,47.619,88.785,46.0,88.785
stein,27,0.21,90.257,58.763,31.494,"I ran to Fourth street, because I knew my mother wa-",100.0,93.0,89.524,78.505,78.505,100.0
stein,22,0.17,72.957,41.237,31.72,I really was frightened out of my wits.,99.083,66.0,80.952,45.794,45.794,99.083
stein,5,0.04,99.762,68.041,31.721,"and after he had gotten in and put the furniture where it was supposed to go, my mother left, to go to market to get some food to bring into the house.",100.0,100.0,99.048,100.0,99.048,100.0
doSomething,21,0.26,38.106,6.316,31.79,And he sits there and waits on.,20.792,16.346,16.981,98.305,16.346,98.305
triplett_v2-catlady,8,0.25,92.09,60.204,31.886,Truth is I didn't take to him much because he had –,98.148,94.175,88.073,87.963,87.963,98.148
boyscout,12,0.63,66.178,34.021,32.157,They leave me.,71.698,47.706,76.0,69.307,47.706,76.0
triplett_v2-catlady,22,0.69,86.346,54.082,32.265,and we didn't find a trace.,99.074,59.223,94.495,92.593,59.223,99.074
triplett_v2-catlady,9,0.28,97.624,65.306,32.318,He was a charming lad until you saw his manners.,99.074,94.175,97.248,100.0,94.175,100.0
panic,44,0.79,99.05,66.0,33.05,He got me a glass of cold water,97.17,99.029,100.0,100.0,97.17,100.0
hester_v1-park,45,0.83,78.202,43.878,34.325,I rushed home after work,74.699,52.0,86.111,100.0,52.0,100.0
triplett_v2-catlady,11,0.34,97.624,63.265,34.359,Goodness gracious he had poor manners.,99.074,94.175,97.248,100.0,94.175,100.0
triplett_v2-catlady,10,0.31,97.624,63.265,34.359,He had poor manners.,99.074,94.175,97.248,100.0,94.175,100.0
triplett_v1-rookie,3,0.09,62.048,27.273,34.776,or had been awarded for bravery.,99.401,20.792,28.0,100.0,20.792,100.0
doSomething,34,0.42,84.409,49.474,34.935,and she said “That guy is right on your tail!”,78.218,77.885,93.396,88.136,77.885,93.396
triplett_v2-catlady,30,0.94,85.529,50.0,35.529,I laid low,88.889,66.99,86.239,100.0,66.99,100.0
schissel_v1-pool,14,0.78,98.571,62.963,35.608,"she just started laughing,",100.0,94.286,100.0,100.0,94.286,100.0
triplett_v1-rookie,2,0.06,59.049,23.232,35.817,He had caught a notorious criminal –,93.413,21.782,21.0,100.0,21.0,100.0
triplett_v2-catlady,31,0.97,85.995,50.0,35.995,and stayed out of sight.,89.815,67.961,89.908,96.296,67.961,96.296
boyscout,8,0.42,100.0,63.918,36.082,"and I started yelling ""Help!"",",100.0,100.0,100.0,100.0,100.0,100.0
boyscout,11,0.58,92.876,56.701,36.175,So all of them kept going.,79.245,97.248,96.0,99.01,79.245,99.01
costa,11,0.06,82.613,46.237,36.377,"They were just starting to get people out of bed, you know.",92.982,79.208,81.034,77.228,77.228,92.982
triplett_v2-catlady,29,0.91,86.433,50.0,36.433,And I did.,89.815,66.019,90.826,99.074,66.019,99.074
schissel_v1-pool,8,0.44,97.857,61.111,36.746,"And my aunt had just handed me a glass of champagne,",100.0,91.429,100.0,100.0,91.429,100.0
boyscout,4,0.21,87.625,50.515,37.11,"but we was at the pier, marked off,",95.283,100.0,77.0,78.218,77.0,100.0
schissel_v2-lake,16,0.89,100.0,62.245,37.755,And . . .; I couldn't help but laugh – uncontrollably.,100.0,100.0,100.0,100.0,100.0,100.0
stein,6,0.05,94.345,55.67,38.675,And my father went to take the horses – take the team of horses back.,100.0,85.0,92.381,100.0,85.0,100.0
costa,8,0.04,80.612,41.935,38.677,She was still under ether.,86.55,49.505,98.276,88.119,49.505,98.276
doSomething,5,0.06,73.664,33.684,39.98,"and getting ready to turn there, at Ranch Eggs,",69.307,38.462,87.736,99.153,38.462,99.153
triplett_v2-catlady,23,0.72,79.84,39.796,40.044,And returned,98.148,36.893,93.578,90.741,36.893,98.148
triplett_v1-rookie,23,0.72,91.782,50.505,41.277,And returned,100.0,87.129,80.0,100.0,80.0,100.0
hester_v1-park,4,0.07,97.435,56.122,41.313,And uh I was working as a graphic designer.,100.0,99.0,90.741,100.0,90.741,100.0
stein,129,0.99,58.989,17.526,41.463,And it was terrible,91.743,29.0,63.81,51.402,29.0,91.743
triplett_v1-rookie,14,0.44,99.255,57.576,41.679,Big intimidating look on his face.,100.0,98.02,99.0,100.0,98.02,100.0
panic,47,0.84,85.881,44.0,41.881,the pressure in my chest slowly eased up,76.415,79.612,94.495,93.0,76.415,94.495
costa,15,0.08,72.404,29.032,43.372,"She said, “What are you talking about? She’s still under ether.”",73.099,59.406,88.793,68.317,59.406,88.793
panic,46,0.82,75.91,32.0,43.91,After a few minutes,71.698,73.786,87.156,71.0,71.0,87.156
hester_v2-church,4,0.07,75.006,30.0,45.006,"It was a quiet afternoon, and I was alone in the store.",39.815,91.0,90.0,79.208,39.815,91.0
panic,24,0.43,79.455,33.0,46.455,I just couldn't catch my breath,90.566,58.252,100.0,69.0,58.252,100.0
schissel_v2-lake,15,0.83,98.595,52.041,46.554,and handed it to me.,99.01,95.37,100.0,100.0,95.37,100.0
schissel_v1-pool,6,0.33,84.736,37.037,47.699,- this was at a fancy hotel garden -,100.0,65.714,75.229,98.0,65.714,100.0
schissel_v1-pool,13,0.72,95.114,46.296,48.817,"When I resurfaced, gasping for air,",100.0,92.381,88.073,100.0,88.073,100.0
triplett_v1-rookie,15,0.47,93.562,44.444,49.117,I managed to calm him down.,100.0,75.248,99.0,100.0,75.248,100.0
panic,25,0.45,65.875,14.0,51.875,I was really scared,100.0,58.252,97.248,8.0,8.0,100.0
stein,7,0.05,77.894,25.773,52.121,But he didn't come home.,99.083,39.0,81.905,91.589,39.0,99.083
triplett_v2-catlady,14,0.44,92.07,37.755,54.315,Big old tabby cat in tow.,100.0,73.786,94.495,100.0,73.786,100.0
schissel_v1-pool,9,0.5,71.001,16.667,54.334,and I warned her to be careful.,81.905,40.952,76.147,85.0,40.952,85.0
doSomething,20,0.25,97.841,43.158,54.683,but I hurried up and got in there ahead of him.,100.0,92.308,99.057,100.0,92.308,100.0
triplett_v2-catlady,15,0.47,94.367,37.755,56.612,I talked her down,99.074,91.262,89.908,97.222,89.908,99.074
hester_v1-park,49,0.91,91.656,34.694,56.962,That was the turning point in his recovery.,100.0,77.0,92.593,97.03,77.0,100.0
schissel_v1-pool,15,0.83,97.619,35.185,62.434,and she apologized profusely.,100.0,90.476,100.0,100.0,90.476,100.0
